nom,prenom,sexe,age,code_postal,situation_matrimoniale,profession,secteur_dactivite,date_deffet_souhaitee,accepted_by_sales
Jean,Christiane,F,19,22520,Veuf(ve),Salarié(e) non-cadre,Hôtellerie - Restauration,06/10/2022,0
Philippe,Madeleine,F,44,76190,Marié(e) sans enfant,Salarié(e) cadre,Ameublement,18/09/2022,0
Leger,Anne,F,23,20240,Divorcé(e),Fonctionnaire territorial,Médicament (Les entreprises du),24/09/2022,0
Durand,Nathalie,F,31,22290,Célibataire,Salarié(e) non-cadre,Commerce interentreprises,02/10/2022,0
Roger,Jeanne,F,55,65170,Divorcé(e),Agriculteur(trice),Edition,23/09/2022,0
Gillet,Hélène,F,36,32140,Marié(e) sans enfant,Sans profession,Plasturgie,30/09/2022,0
Leroy,Marguerite,F,20,39110,Marié(e) sans enfant,Agriculteur(trice),Bâtiment (artisanat),05/10/2022,0
Aubry,Marie,F,31,73160,Veuf(ve),Sans profession,Fédération des industries nautiques,18/09/2022,0
Antoine,Sylvie,F,51,56540,Veuf(ve),Fonctionnaire territorial,"Economie sociale, habitat social et protection sociale",10/10/2022,0
Bouvier,Isabelle,F,23,63200,Veuf(ve),Recherche d'emploi,Papiers et cartons (industries),06/10/2022,0
Pichon,Martine,F,18,51110,Marié(e) sans enfant,Sans profession,Numérique (Atlas),17/10/2022,0
Benard,Marie,F,22,36100,Veuf(ve),Profession libérale,Presse,13/10/2022,0
Giraud,Suzanne,F,37,32110,Veuf(ve),Recherche d'emploi,Bâtiment,20/09/2022,0
Bouchet,Marguerite,F,34,24320,Divorcé(e),Fonctionnaire territorial,Commerces de détail non alimentaires,26/09/2022,0
Hoarau,Louise,F,65,77130,Marié(e) sans enfant,Retraité(e),Offices Publics de l’Habitat,19/09/2022,0
Monnier,Anne,F,23,48800,Pacsé(e),Commerçant(e),Chimie (industrie),11/10/2022,0
Moreau,Anne,F,58,76530,Veuf(ve),Chef(fe) d'entreprise,Grands magasins et magasins populaires,23/09/2022,0
Vincent,Françoise,F,31,20240,Marié(e) avec enfant,Salarié(e) non-cadre,Services (artisanat),08/10/2022,0
Millet,Jacqueline,F,70,66200,Marié(e) sans enfant,Chef(fe) d'entreprise,Edition,18/09/2022,0
Guerin,Louise,F,50,50400,Célibataire,Recherche d'emploi,Fédération des industries nautiques,26/09/2022,0
Lemoine,Monique,F,62,20240,Divorcé(e),Etudiant(e),Textile,29/09/2022,0
Vidal,Nicole,F,47,60120,Marié(e) sans enfant,Agriculteur(trice),Bâtiment,29/09/2022,0
Berger,Marie,F,62,68440,Divorcé(e),Profession libérale,Hôtellerie - Restauration,07/10/2022,0
Perrier,Marguerite,F,56,58000,Célibataire,Chef(fe) d'entreprise,Production et services (artisanat),15/10/2022,0
Francois,Marie,F,33,64450,Marié(e) avec enfant,Etudiant(e),Propreté,22/09/2022,0
Aubry,Anne,F,26,48190,Marié(e) avec enfant,Recherche d'emploi,Alimentation (artisanat),14/10/2022,0
Benoit,Sylvie,F,37,41170,Pacsé(e),Retraité(e),Commerce interentreprises,10/10/2022,0
Roux,Christiane,F,29,46090,Pacsé(e),Fonctionnaire territorial,Transport et logistique,03/10/2022,0
Bonnet,Marie,F,24,42110,Célibataire,Salarié(e) non-cadre,Travaux publics,17/10/2022,0
Maillard,Nicole,F,44,42430,Marié(e) avec enfant,Salarié(e) cadre,Commerces de détail non alimentaires,21/09/2022,0
Thomas,Hélène,F,40,20240,Marié(e) avec enfant,Sans profession,Commerces de détail non alimentaires,12/10/2022,0
Meunier,Marguerite,F,41,31510,Marié(e) sans enfant,Fonctionnaire territorial,Assurance,12/10/2022,0
Colin,Suzanne,F,27,76190,Célibataire,Sans profession,Médicament (Les entreprises du),08/10/2022,0
Blanc,Catherine,F,18,39110,Veuf(ve),Sans profession,Plasturgie,14/10/2022,0
Adam,Jeanne,F,45,51530,Veuf(ve),Artisan,Ameublement,10/10/2022,0
Pierre,Sylvie,F,22,51530,Célibataire,Sans profession,Industrie : la Fabrique de l’avenir,28/09/2022,0
Besson,Nicole,F,67,20240,Célibataire,Recherche d'emploi,Matériaux pour la construction et l’industrie,04/10/2022,0
Renaud,Suzanne,F,21,66730,Marié(e) avec enfant,Etudiant(e),Presse,18/09/2022,0
Carlier,Jeanne,F,31,20240,Divorcé(e),Fonctionnaire hospitalier,Ingénierie (Atlas),14/10/2022,0
Guillaume,Sylvie,F,41,74140,Divorcé(e),Retraité(e),Alimentation (artisanat),27/09/2022,0
Robin,Denise,F,62,36100,Marié(e) sans enfant,Recherche d'emploi,Bâtiment,28/09/2022,0
Pelletier,Catherine,F,37,58160,Marié(e) avec enfant,Fonctionnaire territorial,"Economie sociale, habitat social et protection sociale",12/10/2022,0
Chevallier,Jacqueline,F,66,23000,Pacsé(e),Profession libérale,Assurance,09/10/2022,0
Jacquet,Hélène,F,62,32140,Divorcé(e),Profession libérale,Alimentaire (la filière),27/09/2022,0
Leger,Sylvie,F,21,41600,Marié(e) avec enfant,Agriculteur(trice),"Economie sociale, habitat social et protection sociale",26/09/2022,0
Perret,Françoise,F,21,43380,Célibataire,Etudiant(e),Hôtellerie - Restauration,28/09/2022,0
Leroy,Louise,F,26,20240,Célibataire,Fonctionnaire d'état,Numérique (Atlas),01/10/2022,0
Collin,Isabelle,F,51,77510,Divorcé(e),Artisan,Etudes et conseil,16/10/2022,0
Poulain,Christine,F,55,41170,Marié(e) avec enfant,Artisan,Bâtiment (artisanat),28/09/2022,0
Perrin,Catherine,F,69,62124,Divorcé(e),Commerçant(e),Armée de terre,12/10/2022,0
Denis,Louise,F,67,46090,Marié(e) avec enfant,Agriculteur(trice),Evénement,10/10/2022,0
Meunier,Marguerite,F,44,22520,Marié(e) avec enfant,Commerçant(e),Travaux publics,03/10/2022,0
Dufour,Anne,F,44,66730,Veuf(ve),Sans profession,Presse,01/10/2022,0
Bailly,Jacqueline,F,22,44170,Célibataire,Fonctionnaire hospitalier,Ingénierie (Atlas),17/09/2022,0
Chauvin,Christine,F,55,34190,Divorcé(e),Retraité(e),Armée de terre,03/10/2022,0
Cousin,Catherine,F,64,63330,Célibataire,Salarié(e) non-cadre,Automobile - Services,16/10/2022,0
Payet,Catherine,F,27,44170,Marié(e) sans enfant,Etudiant(e),"Economie sociale, habitat social et protection sociale",09/10/2022,0
Da Silva,Catherine,F,29,40180,Marié(e) avec enfant,Enseignant(e),Services (artisanat),04/10/2022,0
Humbert,Nicole,F,68,23260,Marié(e) sans enfant,Salarié(e) non-cadre,Services (artisanat),11/10/2022,0
Gillet,Sylvie,F,54,69009,Divorcé(e),Retraité(e),Textile,15/10/2022,0
Joly,Christiane,F,44,39110,Marié(e) sans enfant,Fonctionnaire hospitalier,Chimie (industrie),21/09/2022,0
Bertrand,Monique,F,36,39110,Pacsé(e),Commerçant(e),Textile,26/09/2022,0
Louis,Hélène,F,65,65150,Veuf(ve),Artisan,Production et services (artisanat),06/10/2022,0
Cordier,Sylvie,F,57,30230,Veuf(ve),Chef(fe) d'entreprise,Numérique (Atlas),20/09/2022,0
Guyot,Isabelle,F,57,43600,Pacsé(e),Etudiant(e),Chimie (industrie),15/10/2022,0
Lemaire,Françoise,F,64,77130,Marié(e) avec enfant,Artisan,Propreté,20/09/2022,0
Lefevre,Isabelle,F,37,65100,Veuf(ve),Fonctionnaire hospitalier,Ameublement,26/09/2022,0
Bourgeois,Nicole,F,55,57590,Pacsé(e),Profession libérale,Magasins d’habillement,07/10/2022,0
Francois,Christiane,F,47,59272,Célibataire,Commerçant(e),Magasins d’habillement,30/09/2022,0
Masson,Marie,F,20,61210,Marié(e) avec enfant,Fonctionnaire hospitalier,Alimentaire (la filière),23/09/2022,0
Perrier,Sylvie,F,67,63340,Divorcé(e),Salarié(e) non-cadre,Presse,18/09/2022,0
Chauvin,Hélène,F,49,20240,Célibataire,Enseignant(e),Mutualité,08/10/2022,0
Lopez,Marie,F,24,51110,Divorcé(e),Commerçant(e),Assurance,14/10/2022,0
Charles,Catherine,F,40,33710,Veuf(ve),Agriculteur(trice),Médicament (Les entreprises du),29/09/2022,0
Lambert,Jacqueline,F,29,48800,Marié(e) avec enfant,Profession libérale,Edition,12/10/2022,0
Pasquier,Monique,F,58,56540,Célibataire,Salarié(e) non-cadre,Textile,28/09/2022,0
Rodriguez,Jacqueline,F,61,75020,Marié(e) sans enfant,Salarié(e) cadre,Alimentation (artisanat),11/10/2022,0
Charles,Anne,F,54,47370,Marié(e) sans enfant,Sans profession,Automobile - Services,05/10/2022,0
David,Marguerite,F,70,36110,Célibataire,Fonctionnaire d'état,Bâtiment (artisanat),17/09/2022,0
Lejeune,Martine,F,57,65150,Marié(e) avec enfant,Etudiant(e),Offices Publics de l’Habitat,23/09/2022,0
Michaud,Madeleine,F,24,47370,Veuf(ve),Etudiant(e),Mutualité,14/10/2022,0
Marty,Sylvie,F,43,32140,Veuf(ve),Etudiant(e),Papiers et cartons (industries),26/09/2022,0
Gillet,Jacqueline,F,38,34280,Pacsé(e),Etudiant(e),Banque,02/10/2022,0
Simon,Nicole,F,53,46090,Pacsé(e),Recherche d'emploi,Plasturgie,07/10/2022,0
Pelletier,Christine,F,39,68440,Marié(e) sans enfant,Sans profession,Industrie : la Fabrique de l’avenir,08/10/2022,0
Da Silva,Christine,F,21,75020,Marié(e) avec enfant,Sans profession,Bâtiment,22/09/2022,0
Girard,Martine,F,50,36110,Marié(e) sans enfant,Recherche d'emploi,Production et services (artisanat),17/10/2022,0
Denis,Catherine,F,42,66220,Pacsé(e),Recherche d'emploi,Grands magasins et magasins populaires,25/09/2022,0
Morin,Jeanne,F,60,61210,Pacsé(e),Artisan,Médicament (Les entreprises du),11/10/2022,0
Michaud,Catherine,F,22,61210,Veuf(ve),Salarié(e) non-cadre,Médicament (Les entreprises du),06/10/2022,0
Jacquet,Jeanne,F,41,60000,Marié(e) avec enfant,Fonctionnaire hospitalier,Bâtiment (artisanat),13/10/2022,0
Giraud,Nicole,F,18,75020,Pacsé(e),Sans profession,Papiers et cartons (industries),30/09/2022,0
Nicolas,Christine,F,68,40260,Marié(e) avec enfant,Salarié(e) cadre,Alimentation (artisanat),24/09/2022,0
Poirier,Denise,F,58,24300,Veuf(ve),Fonctionnaire territorial,Santé,17/10/2022,0
Renault,Madeleine,F,22,32120,Divorcé(e),Fonctionnaire territorial,"Economie sociale, habitat social et protection sociale",01/10/2022,0
Payet,Monique,F,46,24200,Divorcé(e),Fonctionnaire d'état,Mutualité,28/09/2022,0
Prevost,Catherine,F,48,46090,Pacsé(e),Recherche d'emploi,Automobile - Services,03/10/2022,0
Delaunay,Anne,F,42,20240,Marié(e) sans enfant,Chef(fe) d'entreprise,Assurance,12/10/2022,0
Antoine,Hélène,F,65,77390,Divorcé(e),Commerçant(e),Fédération des industries nautiques,28/09/2022,0
Garnier,Isabelle,F,30,62124,Célibataire,Fonctionnaire territorial,"Fabrication, maintenance et réparation (artisanat)",13/10/2022,0
Blanc,Jeanne,F,20,60000,Divorcé(e),Fonctionnaire hospitalier,Production et services (artisanat),26/09/2022,0
Fleury,Suzanne,F,38,33570,Marié(e) avec enfant,Artisan,Mutualité,10/10/2022,0
Renard,Monique,F,58,20240,Marié(e) sans enfant,Artisan,"Economie sociale, habitat social et protection sociale",10/10/2022,0
Picard,Isabelle,F,43,32110,Veuf(ve),Salarié(e) non-cadre,Commerces de détail non alimentaires,10/10/2022,0
Adam,Nicole,F,56,41600,Marié(e) sans enfant,Fonctionnaire territorial,Alimentation (artisanat),21/09/2022,0
Guyot,Martine,F,43,77100,Marié(e) avec enfant,Profession libérale,Plasturgie,30/09/2022,0
Barthelemy,Marie,F,41,59138,Divorcé(e),Sans profession,Commerce interentreprises,10/10/2022,0
Maillard,Denise,F,37,34500,Marié(e) sans enfant,Enseignant(e),Bâtiment,26/09/2022,0
Etienne,Nicole,F,69,20240,Veuf(ve),Chef(fe) d'entreprise,"Economie sociale, habitat social et protection sociale",03/10/2022,0
Fabre,Jacqueline,F,20,23260,Divorcé(e),Recherche d'emploi,Télécommunications,12/10/2022,0
Le Gall,Martine,F,39,50310,Veuf(ve),Salarié(e) cadre,Médicament (Les entreprises du),06/10/2022,0
Prevost,Catherine,F,51,57590,Marié(e) sans enfant,Salarié(e) cadre,Grands magasins et magasins populaires,20/09/2022,0
Boucher,Nathalie,F,50,20240,Marié(e) sans enfant,Recherche d'emploi,Télécommunications,21/09/2022,0
Giraud,Marguerite,F,18,69170,Célibataire,Etudiant(e),Bâtiment (artisanat),24/09/2022,0
Cousin,Françoise,F,35,39110,Marié(e) sans enfant,Agriculteur(trice),Commerce à distance et e-commerce,27/09/2022,0
Gerard,Isabelle,F,45,52130,Pacsé(e),Fonctionnaire d'état,Ameublement,11/10/2022,0
Andre,Louise,F,65,70230,Marié(e) avec enfant,Salarié(e) cadre,Bâtiment,25/09/2022,0
Duval,Jeanne,F,68,43200,Célibataire,Fonctionnaire hospitalier,Commerces de détail non alimentaires,20/09/2022,0
Dupuy,Suzanne,F,69,38390,Veuf(ve),Salarié(e) cadre,Agriculture,12/10/2022,0
Riviere,Anne,F,47,65150,Divorcé(e),Chef(fe) d'entreprise,Presse,29/09/2022,0
Barbier,Isabelle,F,21,55300,Marié(e) sans enfant,Etudiant(e),Etudes et conseil,13/10/2022,0
Perret,Françoise,F,67,50700,Pacsé(e),Fonctionnaire d'état,Evénement,02/10/2022,0
Dumas,Hélène,F,62,72150,Veuf(ve),Enseignant(e),Ingénierie (Atlas),17/10/2022,0
Leroy,Christine,F,70,41250,Divorcé(e),Salarié(e) cadre,Banque,19/09/2022,0
Bernard,Nicole,F,32,32140,Veuf(ve),Fonctionnaire d'état,Retraite complémentaire et prévoyance,11/10/2022,0
Fontaine,Jacqueline,F,59,70110,Marié(e) avec enfant,Profession libérale,Industrie : la Fabrique de l’avenir,11/10/2022,0
Marchand,Madeleine,F,44,23260,Célibataire,Chef(fe) d'entreprise,Numérique (Atlas),21/09/2022,0
Fontaine,Jacqueline,F,67,74140,Célibataire,Recherche d'emploi,Télécommunications,08/10/2022,0
Olivier,Denise,F,49,51530,Marié(e) avec enfant,Enseignant(e),Transport et logistique,20/09/2022,0
Royer,Marie,F,33,58420,Pacsé(e),Chef(fe) d'entreprise,Art (artisanat),05/10/2022,0
Gerard,Christine,F,52,32140,Veuf(ve),Enseignant(e),Automobile - Services,09/10/2022,0
Marchand,Jeanne,F,53,47370,Marié(e) avec enfant,Chef(fe) d'entreprise,Magasins d’habillement,05/10/2022,0
Roche,Marguerite,F,68,41100,Divorcé(e),Retraité(e),Transport et logistique,19/09/2022,0
Barre,Nathalie,F,19,62124,Veuf(ve),Salarié(e) non-cadre,Numérique (Atlas),11/10/2022,0
Marty,Jeanne,F,22,75016,Marié(e) avec enfant,Artisan,Médicament (Les entreprises du),21/09/2022,0
Cordier,Madeleine,F,21,47370,Pacsé(e),Commerçant(e),"Economie sociale, habitat social et protection sociale",03/10/2022,0
Bernard,Louise,F,24,40180,Marié(e) sans enfant,Fonctionnaire territorial,Chimie (industrie),13/10/2022,0
Lefevre,Christiane,F,37,25330,Divorcé(e),Profession libérale,Matériaux pour la construction et l’industrie,03/10/2022,0
Leveque,Monique,F,24,34500,Marié(e) sans enfant,Sans profession,Commerce interentreprises,24/09/2022,0
Weber,Anne,F,60,31230,Divorcé(e),Recherche d'emploi,Magasins d’habillement,25/09/2022,0
Grondin,Denise,F,30,53600,Divorcé(e),Enseignant(e),Télécommunications,30/09/2022,0
Bertin,Martine,F,45,32140,Veuf(ve),Enseignant(e),Régies de quartier,04/10/2022,0
Adam,Madeleine,F,64,40180,Divorcé(e),Retraité(e),Mutualité,19/09/2022,0
Roger,Christiane,F,40,63340,Pacsé(e),Chef(fe) d'entreprise,Régies de quartier,19/09/2022,0
Deschamps,Suzanne,F,19,67130,Marié(e) sans enfant,Chef(fe) d'entreprise,Magasins d’habillement,12/10/2022,0
Collin,Marie,F,21,32170,Veuf(ve),Chef(fe) d'entreprise,Etudes et conseil,30/09/2022,0
Renaud,Louise,F,40,57590,Pacsé(e),Profession libérale,Services (artisanat),28/09/2022,0
Garcia,Nathalie,F,63,44170,Divorcé(e),Fonctionnaire hospitalier,Alimentaire (la filière),01/10/2022,0
Carlier,Suzanne,F,18,52110,Célibataire,Etudiant(e),Matériaux pour la construction et l’industrie,16/10/2022,0
Delaunay,Sylvie,F,26,72430,Marié(e) avec enfant,Sans profession,Services (artisanat),19/09/2022,0
Adam,Christine,F,31,57190,Marié(e) sans enfant,Retraité(e),Services (artisanat),13/10/2022,0
Leroy,Françoise,F,31,34280,Marié(e) sans enfant,Recherche d'emploi,Numérique (Atlas),30/09/2022,0
Lecomte,Louise,F,42,73160,Divorcé(e),Artisan,Chimie (industrie),23/09/2022,0
Antoine,Marie,F,70,50400,Divorcé(e),Etudiant(e),Retraite complémentaire et prévoyance,23/09/2022,0
Daniel,Jeanne,F,42,69009,Marié(e) avec enfant,Salarié(e) non-cadre,Grands magasins et magasins populaires,23/09/2022,0
Herve,Martine,F,56,33570,Veuf(ve),Salarié(e) non-cadre,Services (artisanat),27/09/2022,0
Leroux,Nathalie,F,60,46090,Divorcé(e),Fonctionnaire d'état,Chimie (industrie),27/09/2022,0
Cousin,Martine,F,69,46090,Pacsé(e),Chef(fe) d'entreprise,Etudes et conseil,28/09/2022,0
Leroy,Françoise,F,62,37290,Veuf(ve),Sans profession,Régies de quartier,04/10/2022,0
Bouvier,Madeleine,F,64,32140,Marié(e) sans enfant,Enseignant(e),Papiers et cartons (industries),15/10/2022,0
Pelletier,Jeanne,F,38,40180,Marié(e) avec enfant,Retraité(e),Mutualité,09/10/2022,0
Lefebvre,Catherine,F,70,52110,Divorcé(e),Fonctionnaire territorial,Magasins d’habillement,10/10/2022,0
Etienne,Madeleine,F,68,20240,Veuf(ve),Fonctionnaire territorial,Commerces de détail non alimentaires,21/09/2022,0
Gauthier,Françoise,F,69,77130,Marié(e) avec enfant,Salarié(e) cadre,"Fabrication, maintenance et réparation (artisanat)",17/09/2022,0
Fournier,Anne,F,40,73170,Célibataire,Recherche d'emploi,Magasins d’habillement,15/10/2022,0
Adam,Catherine,F,49,40320,Divorcé(e),Recherche d'emploi,Papiers et cartons (industries),13/10/2022,0
Mercier,Nathalie,F,70,70110,Veuf(ve),Enseignant(e),Bâtiment (artisanat),17/09/2022,0
Tessier,Jacqueline,F,65,60000,Célibataire,Sans profession,Grands magasins et magasins populaires,15/10/2022,0
Charles,Martine,F,20,63330,Veuf(ve),Recherche d'emploi,Médicament (Les entreprises du),01/10/2022,0
Arnaud,Suzanne,F,40,60000,Marié(e) sans enfant,Etudiant(e),Mutualité,12/10/2022,0
Royer,Marie,F,44,47370,Marié(e) sans enfant,Fonctionnaire d'état,Bâtiment (artisanat),23/09/2022,0
Bertin,Isabelle,F,62,49360,Célibataire,Commerçant(e),Evénement,01/10/2022,0
Meunier,Catherine,F,20,48190,Divorcé(e),Artisan,Bâtiment (artisanat),12/10/2022,0
David,Martine,F,33,55300,Célibataire,Enseignant(e),Retraite complémentaire et prévoyance,07/10/2022,0
Bouchet,Françoise,F,57,31510,Marié(e) avec enfant,Salarié(e) cadre,Médicament (Les entreprises du),21/09/2022,0
Guillaume,Martine,F,63,39190,Divorcé(e),Fonctionnaire territorial,Presse,30/09/2022,0
Renault,Marie,F,58,20240,Divorcé(e),Recherche d'emploi,Agriculture,12/10/2022,0
Laurent,Sylvie,F,22,50310,Divorcé(e),Sans profession,Retraite complémentaire et prévoyance,08/10/2022,0
Bailly,Marguerite,F,53,54112,Marié(e) sans enfant,Fonctionnaire territorial,Banque,21/09/2022,0
Hubert,Anne,F,20,32140,Marié(e) avec enfant,Sans profession,Magasins d’habillement,17/09/2022,0
Caron,Christine,F,29,20240,Marié(e) sans enfant,Etudiant(e),Bâtiment (artisanat),11/10/2022,0
Gillet,Jeanne,F,27,44210,Marié(e) sans enfant,Profession libérale,Numérique (Atlas),24/09/2022,0
Roger,Marie,F,53,20240,Divorcé(e),Agriculteur(trice),Travaux publics,15/10/2022,0
Laporte,Jeanne,F,46,64450,Veuf(ve),Salarié(e) cadre,Numérique (Atlas),17/09/2022,0
Vidal,Denise,F,52,61210,Marié(e) avec enfant,Retraité(e),Propreté,07/10/2022,0
Jacquet,Hélène,F,36,24200,Marié(e) avec enfant,Profession libérale,Plasturgie,12/10/2022,0
Perrier,Christine,F,59,48190,Veuf(ve),Artisan,Matériaux pour la construction et l’industrie,14/10/2022,0
Roche,Monique,F,50,37290,Célibataire,Recherche d'emploi,Presse,26/09/2022,0
Michaud,Hélène,F,50,61100,Pacsé(e),Fonctionnaire hospitalier,Bâtiment,14/10/2022,0
Jean,Isabelle,F,18,30114,Pacsé(e),Artisan,Santé,20/09/2022,0
Arnaud,Martine,F,23,23260,Divorcé(e),Retraité(e),Mutualité,18/09/2022,0
Legrand,Catherine,F,22,52110,Pacsé(e),Agriculteur(trice),Assurance,21/09/2022,0
Fabre,Marie,F,36,75020,Divorcé(e),Commerçant(e),Plasturgie,22/09/2022,0
Rousseau,Anne,F,41,20240,Marié(e) avec enfant,Commerçant(e),Télécommunications,01/10/2022,0
Riviere,Marie,F,28,40380,Pacsé(e),Etudiant(e),Numérique (Atlas),10/10/2022,0
Marchal,Christine,F,45,64450,Divorcé(e),Agriculteur(trice),Services (artisanat),26/09/2022,0
Millet,Hélène,F,27,74140,Marié(e) avec enfant,Commerçant(e),Plasturgie,09/10/2022,0
Fernandez,Catherine,F,70,56540,Marié(e) avec enfant,Fonctionnaire territorial,Armée de terre,21/09/2022,0
Morel,Louise,F,66,76530,Veuf(ve),Enseignant(e),Automobile - Services,16/10/2022,0
Lemaitre,Marie,F,34,41100,Marié(e) sans enfant,Fonctionnaire d'état,Edition,20/09/2022,0
Sanchez,Jacqueline,F,30,77139,Veuf(ve),Fonctionnaire d'état,Presse,04/10/2022,0
Benard,Françoise,F,22,33380,Célibataire,Fonctionnaire d'état,Assurance,12/10/2022,0
Morel,Suzanne,F,59,72530,Divorcé(e),Profession libérale,Bâtiment (artisanat),12/10/2022,0
Deschamps,Sylvie,F,69,56540,Divorcé(e),Fonctionnaire hospitalier,Transport et logistique,12/10/2022,0
Chevallier,Monique,F,51,55300,Divorcé(e),Commerçant(e),Numérique (Atlas),17/09/2022,0
Cousin,Isabelle,F,48,23260,Marié(e) avec enfant,Profession libérale,Grands magasins et magasins populaires,24/09/2022,0
Robin,Madeleine,F,68,52110,Pacsé(e),Enseignant(e),Evénement,25/09/2022,0
Caron,Anne,F,64,46130,Marié(e) avec enfant,Agriculteur(trice),Médicament (Les entreprises du),24/09/2022,0
Chauvin,Marguerite,F,35,33124,Veuf(ve),Commerçant(e),Ameublement,23/09/2022,0
Blanc,Jeanne,F,35,52150,Célibataire,Commerçant(e),Santé,30/09/2022,0
Lemaitre,Martine,F,52,64350,Marié(e) sans enfant,Fonctionnaire hospitalier,Hôtellerie - Restauration,22/09/2022,0
Charles,Jacqueline,F,55,53600,Marié(e) sans enfant,Sans profession,Bâtiment (artisanat),09/10/2022,0
Leroy,Anne,F,38,55300,Pacsé(e),Sans profession,Etudes et conseil,28/09/2022,0
Payet,Madeleine,F,49,34500,Marié(e) avec enfant,Fonctionnaire d'état,Alimentation (artisanat),12/10/2022,0
Giraud,Marguerite,F,60,60310,Pacsé(e),Salarié(e) non-cadre,Bâtiment (artisanat),30/09/2022,0
Perrier,Madeleine,F,61,39570,Pacsé(e),Agriculteur(trice),Commerce interentreprises,23/09/2022,0
Jacob,Jeanne,F,45,32140,Veuf(ve),Fonctionnaire hospitalier,Banque,23/09/2022,0
Pierre,Catherine,F,19,43200,Marié(e) sans enfant,Chef(fe) d'entreprise,Textile,15/10/2022,0
Da Silva,Nathalie,F,48,38390,Marié(e) avec enfant,Fonctionnaire d'état,Commerce interentreprises,10/10/2022,0
Dupuis,Françoise,F,45,54112,Pacsé(e),Etudiant(e),Production et services (artisanat),10/10/2022,0
Marty,Christiane,F,63,33380,Veuf(ve),Etudiant(e),Santé,18/09/2022,0
Renard,Monique,F,68,56250,Divorcé(e),Salarié(e) non-cadre,Grands magasins et magasins populaires,17/09/2022,0
Vidal,Catherine,F,70,49080,Célibataire,Salarié(e) non-cadre,Hôtellerie - Restauration,18/09/2022,0
Aubry,Suzanne,F,19,23000,Veuf(ve),Fonctionnaire territorial,Papiers et cartons (industries),04/10/2022,0
Menard,Hélène,F,57,53220,Marié(e) sans enfant,Artisan,Bâtiment (artisanat),01/10/2022,0
Charles,Christine,F,35,59265,Veuf(ve),Etudiant(e),Industrie : la Fabrique de l’avenir,23/09/2022,0
Julien,Isabelle,F,43,68250,Marié(e) sans enfant,Artisan,Bâtiment,17/10/2022,0
Aubry,Sylvie,F,66,75020,Veuf(ve),Fonctionnaire hospitalier,Industrie : la Fabrique de l’avenir,03/10/2022,0
Weber,Catherine,F,45,49360,Veuf(ve),Salarié(e) non-cadre,Etudes et conseil,17/09/2022,0
Hamon,Nathalie,F,32,69170,Pacsé(e),Retraité(e),Edition,02/10/2022,0
Henry,Madeleine,F,60,36120,Pacsé(e),Salarié(e) non-cadre,Alimentation (artisanat),26/09/2022,0
Noel,Nathalie,F,38,31460,Marié(e) sans enfant,Recherche d'emploi,Santé,26/09/2022,0
Benard,Anne,F,67,20240,Marié(e) sans enfant,Salarié(e) cadre,Automobile - Services,22/09/2022,0
Baron,Martine,F,21,55300,Divorcé(e),Profession libérale,Alimentaire (la filière),28/09/2022,0
Nicolas,Suzanne,F,58,24390,Divorcé(e),Fonctionnaire territorial,Magasins d’habillement,17/09/2022,0
Marchand,Nicole,F,39,73170,Marié(e) avec enfant,Artisan,Alimentation (artisanat),13/10/2022,0
Fabre,Louise,F,49,38110,Célibataire,Fonctionnaire territorial,Textile,24/09/2022,0
Gerard,Martine,F,32,48800,Veuf(ve),Salarié(e) non-cadre,Ingénierie (Atlas),15/10/2022,0
Giraud,Monique,F,55,58000,Pacsé(e),Fonctionnaire d'état,Hôtellerie - Restauration,14/10/2022,0
Herve,Monique,F,34,64310,Pacsé(e),Fonctionnaire territorial,Agriculture,08/10/2022,0
Benard,Marie,F,40,53600,Marié(e) avec enfant,Fonctionnaire territorial,Ameublement,09/10/2022,0
Dupuy,Denise,F,70,47370,Marié(e) sans enfant,Sans profession,Production et services (artisanat),16/10/2022,0
Cordier,Isabelle,F,19,69009,Divorcé(e),Commerçant(e),Santé,18/09/2022,0
Marechal,Martine,F,44,43200,Marié(e) avec enfant,Agriculteur(trice),Ameublement,24/09/2022,0
Le Roux,Louise,F,68,54620,Marié(e) sans enfant,Sans profession,Assurance,14/10/2022,0
Brun,Christine,F,27,72150,Marié(e) sans enfant,Fonctionnaire d'état,Production et services (artisanat),07/10/2022,0
Guillaume,Jacqueline,F,37,57590,Marié(e) sans enfant,Etudiant(e),Commerce à distance et e-commerce,20/09/2022,0
Carpentier,Marguerite,F,44,30230,Marié(e) avec enfant,Etudiant(e),Transport et logistique,06/10/2022,0
Etienne,Anne,F,39,20240,Veuf(ve),Etudiant(e),Offices Publics de l’Habitat,13/10/2022,0
Roger,Sylvie,F,29,53160,Veuf(ve),Recherche d'emploi,Régies de quartier,19/09/2022,0
Moulin,Madeleine,F,59,47250,Marié(e) sans enfant,Recherche d'emploi,Travaux publics,12/10/2022,0
Colin,Hélène,F,32,61100,Veuf(ve),Recherche d'emploi,Numérique (Atlas),22/09/2022,0
Garcia,Catherine,F,51,52130,Marié(e) sans enfant,Salarié(e) non-cadre,Numérique (Atlas),14/10/2022,0
Tessier,Jeanne,F,47,64450,Marié(e) sans enfant,Salarié(e) non-cadre,Mutualité,29/09/2022,0
Noel,Denise,F,33,76530,Marié(e) avec enfant,Profession libérale,Travaux publics,29/09/2022,0
